idweb,dateparution,dept,code_departement,nomacheteur,objet,descripteur_str,famille_libelle,procedure_libelle,nature_libelle,score_perimetre,dans_perimetre,cyclable_detecte,cyclable_mots,alerte_l228,url_avis
26-32642,2026-04-01,62,['62'],SPL DE L'ARTOIS,100003-Travaux de requalification de la cité Nouméa à ROUVROY dans le cadre du grand projet urbain Engagement pour le Renouveau du Bassin Minier (ERBM).relance des lots 1 et 5 et consultation du lot 6,"Terrassement, Voirie et réseaux divers, Alimentation en eau potable, Espaces verts",Marchés européens,Procédure Ouverte,Résultat de marché,3,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-32642
26-32720,2026-04-01,73,['73'],Commune d'Aime-la-Plagne,TRAVAUX DE RESEAUX HUMIDES ET DIVERS,"Réseaux divers, Voirie et réseaux divers",Marchés européens,Procédure Ouverte,Avis de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-32720
26-32744,2026-04-01,69,['69'],La Régie Eau du Grand Lyon,Accord cadre de travaux d'aménagement et de mise en conformité des bâtiments de Eau du Grand Lyon - 6 lots,"Menuiserie, Electricité (travaux), Plomberie (travaux), Ventilation, Chauffage (travaux)",Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-32744
26-33066,2026-04-01,66,['66'],CONSEIL DEPARTEMENTAL DES PYRENEES-ORIENTALES,ROUTES DEPARTEMENTALES ET INFRASTRUCTURES - STABILISATION DE FALAISES ET TALUS AMONT,"Falaise, Voirie",Marchés européens,Procédure Ouverte,Avis de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-33066
26-33507,2026-04-01,87,['87'],Commune de CHATEAUPONSAC,RENOVATION D'UNE GRANGE EN VUE DE L'INSTALLATION D'UNE MICRO-FOLIE,"Gros oeuvre, Menuiserie, Plomberie (travaux)",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33507
26-33413,2026-04-01,29,['29'],Région Bretagne,Travaux de rénovation des sanitaires de l’internat au lycée de Cornouaille à Quimper (29) - Relance lot n°3,Revêtements de sols,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,1,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33413
26-33417,2026-04-01,57,['57'],Ville de Thionville,Travaux de rénovation de la tribune d'honneur du stade de Guentrange,Sonorisation,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33417
26-33404,2026-04-01,84,['84'],SID Sud-Est,Travaux préalables à la construction de deux nouveaux batiments,"Démolition, Electricité (travaux), Voirie et réseaux divers",Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-33404
26-33386,2026-04-01,75,"['75', '78', '92', '93', '94', '95']",MEDAD_DGAC_SNIA,Construction de la nouvelle vigie de l’héliport de Paris-Issy-les-Moulineaux-Valérie André,Matériaux de construction,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33386
26-33489,2026-04-01,13,['13'],NAUTISME MER DEVELOPPEMENT,Mission de génie civil Cale de mise à l’eau,Génie civil,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33489
26-33537,2026-04-01,22,"['22', '29', '35', '56']",PONTIVY COMMUNAUTE,Travaux de mise à niveau avec remplacement de tampons de regards d'eaux usées,Assainissement,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33537
26-32759,2026-04-01,974,['974'],SPL Grand Ouest (974),Travaux pour la requalification des espaces publics du projet « Les Portes de l'Océan »,"Génie civil, Voirie et réseaux divers, Eclairage public, Arrosage",Marchés européens,Procédure Ouverte,Résultat de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-32759
26-32766,2026-04-01,55,['55'],Conseil Départemental de la Meuse,"Exécution de couches de roulement en matériaux bitumineux coulés à froid, graves émulsion et enduits superficiels d’usure sur le réseau départemental routier meusien et ses dépendances.",Voirie,Marchés européens,Procédure Ouverte,Résultat de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-32766
26-32753,2026-04-01,973,['973'],COLLECTIVITE TERRITORIALE DE GUYANE,"Travaux de fauchage des accotements sur les RD de Montsinery-Tonnegrande, Macouria , Kourou et Sinnamary",Voirie,Marchés européens,Procédure Ouverte,Résultat de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-32753
